,,,,Disc_unlock_tips,Play another more %1$d points to get the disk,لعب %1$d نقطة إضافية للحصول على للقرص المضغوط,再玩%1$d分可获取盘面,再玩%1$d分可獲取盤面,Speel nog een %1$d -punten om de schijf te krijgen,Maglaro ng isa pang %1$d puntos upang makuha ang disk,Pelaa vielä enemmän %1$d pisteitä saadaksesi levyn,Des disque au %1$d points une 2ième fois,Spiel noch %1$d Punkte. um Platten zu kriegen!,डिस्क प्राप्त करने के लिए एक और % %1$d अंक खेलें,Main %1$d lagi dapat penggalan,Gioca di nuovo %1$d punti per ottenere il disco,%1$d점 더 연주하면 음반 얻을 수 있습니다,もう%1$d点をゲットしてCDアイコンを入手,Main lagi lebih banyak %1$d mata untuk mendapatkan cakera,Spill ytterligere mer %1$d poeng for å få disken,"Zagraj w kolejne punkty %1$d, aby uzyskać dysk",Ganhe mais %1$d pontos para conseguir as disco,Ganhe mais %1$d pontos para conseguir as disco,наберите еще %1$d баллов. получите дисков,Juega %1$d puntos más para lograr disco,Spela ytterligare ett mer %1$d -poäng för att få disken,เล่นอีกหนึ่งคะแนน %1$d เพื่อรับดิสก์,Panel almak için daha %1$d puan almanız gerekir,Chơi thêm điểm %1$d để lấy đĩa
,,,,Disc_author_name1,J.S. Bach,جي اس باخ,J.S. 巴赫,J.S. 巴赫,J.S. Bach,J.S. Bach,J.S. Bach,J.S. Bach,J.S. Bach,जे.एस. बाख,J.S. Bach,J.S. Bach,요한 세바스티안 바하,ヨハン・ゼバスティアン・バッハ,J.S. Bach,J.S. Bach,J.S. Kawaler,J.S. Bach,J.S. Bach,И. С. Бах,J.S. Bach,J.S. Bach,J.S. บัค,J.S. Bach,J.S. Bach
,二级页面,盘面名称,,Disc_author_name2,Chopin,شوبان,肖邦,蕭邦,Chop,Chopin,Pilata,Chopin,Chopin,चोपिन,Chopin,Chopin,쇼팽,ショパン,Chopin,Chopin,Chopin,Chopin,Chopin,Фредерик Шопен,Chopin,Hackin,โชปิน,Chopin,Chopin
,,,,Disc_author_name3,Beethoven,بيتهوفن,贝多芬,貝多芬,Beethoven,Beethoven,Beethoven,Beethoven,Beethoven,बीथोवेन,Beethoven,Beethoven,베토벤,ベートーヴェン,Beethoven,Beethoven,Beethoven,Beethoven,Beethoven,Людвиг ван Бетховен,Beethoven,Beethoven,เบโธเฟน,Beethoven,Beethoven
,,,,Disc_author_name4,Mozart,موزارت,莫扎特,莫扎特,Mozart,Mozart,Mozart,Mozart,Mozart,मोजार्ट,Mozart,Mozart,모차르트,モーツァルト,Mozart,Mozart,Mozart,Mozart,Mozart,Вольфганг Амадей Моцарт,Mozart,Mozart,โมสาร์ท,Mozart,Mozart
,,,,Disc_content_name1,2nd Anniversary,الذكرى السنوية الثانية,第二周年纪念日,第二週年紀念,2e jubileum,Ikalawang Taon,2. vuosipäivä,2ème Anniversaire,2. Jubiläum,दूसरी वर्षगांठ,2nd Anniversary,2° Anniversario,2주년 기념일,2周年記念,2nd Anniversary,2-årsjubileum,2. rocznica,2ª Aniversário,2ª Aniversário,2-й юбилей,2.º Aniversario,2-årsjubileum,2. Yıldönümü,2 năm kỷ niệm,Tùy chỉnh thứ 2 ANNV
,,,,Disc_content_name2,Melodic Reality,الواقع اللحني,旋律现实,旋律現實,Melodieuze werkelijkheid,Melodic Reality,Melodinen todellisuus,Réalité mélodique,Melodische Realität,मधुर वास्तविकता,Realitas Melodi,Realtà melodica,멜로디 현실,メロディックリアリティ,Realiti Melodi,Melodisk virkelighet,Melodyczna rzeczywistość,Realidade Melódica,Realidade Melódica,Мелодия,Realidad melódica,Melodisk verklighet,ความเป็นจริงอันไพเราะ,Melodik Gerçeklik,Giai điệu hiện thực
,,,,Disc_content_name3,Symphony,سمفونية,交响乐,交響樂,Symfonie,Symphony,Sinfonia,Symphonie,Symphonie,स्वर की समता,Simfoni,Sinfonia,심포니,交響曲,Simfoni,Symfoni,Symfonia,Sinfonia,Sinfonia,Симфония,Sinfonía,Symfoni,ซิมโฟนี,Senfoni,bản giao hưởng
,,,,Disc_normal_name,Piano Tiles Classic,بلاط البيانو الكلاسيكي,Piano Tiles 经典,Piano Tiles 經典,Piano Tiles Klassiek,Classic na Mga Tile ng Piano,Pianolaatat Klassinen,Piano Tiles Classique,Piano Tiles Klassik,पियानो टाइल्स क्लासिक,Piano Tiles Klasik,Piano Tiles Classico,피아노 타일 클래식,ピアノタイルクラシック,Piano Tiles Klasik,Piano Tiles Klassisk,Pianofliser Klassisk,Klasyczne Kafelki Pianina,Piano Tiles Clássico,Классические Плитки Пианино,Clásico de Piano Tiles,Pianoplattor Klassisk,กระเบื้องเปียโนคลาสสิก,Piyano Klasik Kiremitler,Piano Tiles Cổ điển
,,,,Disc_author_name5,Franz Liszt,فرانز ليزت,弗朗兹·李斯特,弗朗茲·李斯特,Franz Liszt,Franz Liszt,Franz Liszt,Franz Liszt,Franz Liszt,फ्रांज़ लिस्ज़त,Franz Liszt,Franz Liszt,프란츠 리스트,フランツ・リスト,Franz Liszt,Franz Liszt,Franz Liszt,Franz Liszt,Franz Liszt,Ференц Лист,Franz Liszt,Franz liszt,Franz Liszt,Franz Liszt,Franz Liszt
,,,,Disc_author_name6,Tchaikovsky,تشايكوفسكي,柴可夫斯基,柴可夫斯基,Tchaikovsky,Tchaikovsky,Tchaikovsky,Tchaikovsky,Tchaikovsky,शाइकोवस्की,Tchaikovsky,Tchaikovsky,차이콥스키,チャイコフスキー,Tchaikovsky,Tchaikovsky,Tchaikovsky,Tchaikovsky,Tchaikovsky,Чайковский,Tchaikovsky,Tchaikovsky,tchaikovsky,Tchaikovsky,Tchaikovsky
,,,,Disc_content_name4,Polka,رقصة البولكا,波尔卡舞曲,波卡舞曲,Polka,Polka,Polkka,Polka,Polka,पोल्का,Polka,Danza Polka,폴카 댄스곡,ポルカ舞曲,Polka,Polka,Polka,polca,polca,Песня польки,Polca,Polka,โพลก้า,Polka dansı,Polka
,,,,Disc_author_name7,Franz Schubert,فرانز شوبيرت,弗朗茨·舒伯特,弗朗茲·舒伯特,Franz Schubert,Franz Schubert,Franz Schubert,Franz Schubert,Franz Schubert,फ्रांज श्यूबर्ट,Franz Schubert,Franz Schubert,프란츠 슈베르트,フランツ・シューベルト,Franz Schubert,Franz Schubert,Franz Schubert,Franz Schubert,Franz Schubert,Шуберт,Franz Schubert,Franz Schubert,ฟรานซ์ ชูเบิร์ต,Franz Schubert,Franz Schubert
,,,,Disc_content_name5,Spooky Season,موسم مخيف,幽灵季,幽靈季,Spookachtig seizoen,Nakakatakot na Season,Pelottava kausi,Saison effrayante,Gruselige Saison,डरावना मौसम,Musim Seram,Stagione spettrale,으스스한 시즌,不気味な季節,Musim Seram,Spooky sesong,Straszny sezon,Temporada assustadora,Temporada assustadora,Жуткий сезон,Temporada espeluznante,Spöklik säsong,ฤดูที่น่ากลัว,Ürkütücü Sezon,Mùa ma quái
,,,,Disc_name8,Folk Music,أغنية شعبية,民谣,民謠,Volksmuziek,Katutubong musika,Kansanmusiikki,Ballades,Volksreime,लोक संगीत,Lagu Rakyat,Ballata,민요,民謡,Muzik rakyat,Folkemusikk,Muzyka ludowa,músicas folclóricas,músicas folclóricas,Народный фольклор,Copla,Folkmusik,ดนตรีพื้นบ้าน,Halk Müzikleri,Dân ca
,,,,Disc_name9,Robert Schumann,روبرت سشمن,舒曼,舒曼,Robert Schumann,Robert Schumann,Robert Schumann,Robert Schumann,Robert Schumann,रॉबर्ट शुमान,Robert Schumann,Robert Schumann,로베르트 슈만,ロベルト・シューマン,Robert Schumann,Robert Schumann,Robert Schumann,Robert Schumann,Robert Schumann,Роберт Шуман,Robert Schumann,Robert Schumann,Robert Schumann,Robert Schumann,Robert Schumann
,,,,Disc_name16,Holiday Cheer,بهجة العطلة,节日欢呼,節日歡呼,Feestvreugde,Holiday Cheer,Kausijuhla Iloja,Joie des Fêtes,Festliche Stimmung,छुट्टी की खुशियाँ,Sorak Liburan,Festività Allegra,홀리데이 기쁨,ホリデーの歓声,Sorakan Cuti,Ferieglede,Radość Świąt,Alegria de Férias,Alegria de Férias,Праздничное Настроение,Alegría festiva,Högtidsstämning,เชียร์วันหยุด,Tatil Neşesi,Nghỉ lễ Vui tươi
,,,,Puzzle_nocollection_title,Play puzzles to collect tips,تذكير لجمع الصور,拼图收集小贴士,拼圖收集小貼士,Speel puzzels om tips te verzamelen,Maglaro ng mga puzzle upang mangolekta ng mga tip,Pelaa palapelit vinkkien keräämiseksi,Notice des puzzles,Tipps für Puzzlesammlung,टिप्स इकट्ठा करने के लिए पहेलियाँ खेलें,Tips kumpulkan gambar,Tip per l'accolta di puzzle,퍼즐 수집 팁,パズル収集TIPS,Main teka -teki untuk mengumpulkan petua,Spill gåter for å samle tips,"Zagraj w łamigłówki, aby zebrać wskazówki",Dicas para coletar quebra-cabeças,Dicas para coletar quebra-cabeças,Подсказка искателя,Notificaciones para juntar piezas,Spela pussel för att samla tips,เล่นปริศนาเพื่อรวบรวมเคล็ดลับ,Bulmaca toplama notları,Chơi câu đố để thu thập mẹo
,,收集说明-无收集行为,,Puzzle_collectioning_subtitle2,Collect all puzzles to get the full disk!,جمع الصور للحصول على القرص المغطوط الكامل!,集齐拼图获得完整盘面！,集齊拼圖獲得完整盤面！,Verzamel alle puzzels om de volle schijf te krijgen!,Kolektahin ang lahat ng mga puzzle upang makuha ang buong disk!,Kerää kaikki palapelit saadaksesi koko levy!,Reconstituez les puzzles pour disque complet,Mit allen Puzzles bekommt man die ganze Platte!,पूरी डिस्क प्राप्त करने के लिए सभी पहेलियाँ इकट्ठा करें!,Kumpulkan puzzle dapatkan gambar utuh!,Raccogli tutti puzzle per avere l'intero disco!,모든 퍼즐을 찾고 풀음반을 획득하기!,パズルを集めてCDアイコンをゲットしよう,Kumpulkan semua teka -teki untuk mendapatkan cakera penuh!,Samle alle gåter for å få full disk!,"Zbierz wszystkie łamigłówki, aby uzyskać pełny dysk!",Colete todas peças para obter o disco inteiro!,Colete todas peças para obter o disco inteiro!,"Наберите пазлы, чтобы собрать диск!",Consigue el disco completo con todas las piezas,Samla alla pussel för att få hela disken!,รวบรวมปริศนาทั้งหมดเพื่อรับดิสก์เต็ม!,Tüm panel elde etmek için bulmaca çözün,Thu thập tất cả các câu đố để có được đĩa đầy đủ!
,,,,Puzzle_nocollection_subtitle1,There are chances to drop puzzles in endless rush.,من المرجح أن تسقط بعض الصور في تايلز لا نهاية لها,无尽模式有几率掉落拼图,無盡模式有機率掉落拼圖,Er zijn kansen om puzzels te laten vallen in eindeloze haast.,May mga pagkakataong ibagsak ang mga puzzle sa walang katapusang pagmamadali.,On mahdollisuuksia pudottaa palapelit loputtomassa kiireessä.,Puzzles à gagner à tuiles à l'infini,Puzzle könnte in Endless Sprint verloren gehen,अंतहीन भीड़ में पहेली छोड़ने की संभावना है।,Berkesempatan jatuh puzzle di endless tiles,Cadrebbe puzzle in modalità round senza fine,끝 없는 타일에 퍼즐 나올 수 있습니다,無限モードでパズルを集めましょう,Terdapat peluang untuk menjatuhkan teka -teki dalam tergesa -gesa tanpa henti.,Det er sjanser til å slippe gåter i uendelig rush.,Istnieją szanse na upuszczenie łamigłówek w niekończącej się pośpiechu.,Pode pegar quebra-cabeças em teclas infinitas,Pode pegar quebra-cabeças em teclas infinitas,Пазлы потерялись в бесконечных,Posibles piezas de puzzle en tecla sin fin,Det finns chanser att släppa pussel i oändlig rusning.,มีโอกาสที่จะลดปริศนาอย่างไม่มีที่สิ้นสุด,Sonsuz tuşlarda bulmaca düşmesi şansı var,Có khả năng thả các câu đố trong Rush vô tận.
,,,,Puzzle_nocollection_subtitle2,Complete the task to get the puzzle.,تلقي الصور بعد إكمال المهمة,完成任务领取拼图,完成任務領取拼圖,Voltooi de taak om de puzzel te krijgen.,Kumpletuhin ang gawain upang makuha ang puzzle.,Suorita tehtävä saadaksesi palapelin.,Finir la mission pour puzzles,Nach Erfüllung der Aufgabe erhält man Puzzle,पहेली प्राप्त करने के लिए कार्य को पूरा करें।,Selesaikan misi dan dapatkan puzzle,Completa missione e prendi puzzle,미션을 완성하면 퍼즐을 얻을 수 있습니다,ミッションをクリアしてパズルをゲット,Lengkapkan tugas untuk mendapatkan teka -teki.,Fullfør oppgaven for å få puslespillet.,"Wykonaj zadanie, aby uzyskać układankę.",Complete as tarefas para receber quebra-cabeças,Complete as tarefas para receber quebra-cabeças,"Выполните задание, получите пазл",Completa el nivel y consigue piezas,Slutför uppgiften för att få pusslet.,ทำงานให้เสร็จเพื่อรับปริศนา,Görev bitirip bulmaca kazanın,Hoàn thành nhiệm vụ để có được câu đố.
